8
3	1 2 4 
3	0 3 5 
3	3 0 6 
3	2 1 7 
3	5 6 0 
3	4 7 1 
3	7 4 2 
3	6 5 3 

16
4	1 2 4 8 
4	0 3 5 9 
4	3 0 6 10 
4	2 1 7 11 
4	5 6 0 12 
4	4 7 1 13 
4	7 4 2 14 
4	6 5 3 15 
4	9 10 12 0 
4	8 11 13 1 
4	11 8 14 2 
4	10 9 15 3 
4	13 14 8 4 
4	12 15 9 5 
4	15 12 10 6 
4	14 13 11 7 

32
5	1 2 4 8 16 
5	0 3 5 9 17 
5	3 0 6 10 18 
5	2 1 7 11 19 
5	5 6 0 12 20 
5	4 7 1 13 21 
5	7 4 2 14 22 
5	6 5 3 15 23 
5	9 10 12 0 24 
5	8 11 13 1 25 
5	11 8 14 2 26 
5	10 9 15 3 27 
5	13 14 8 4 28 
5	12 15 9 5 29 
5	15 12 10 6 30 
5	14 13 11 7 31 
5	17 18 20 24 0 
5	16 19 21 25 1 
5	19 16 22 26 2 
5	18 17 23 27 3 
5	21 22 16 28 4 
5	20 23 17 29 5 
5	23 20 18 30 6 
5	22 21 19 31 7 
5	25 26 28 16 8 
5	24 27 29 17 9 
5	27 24 30 18 10 
5	26 25 31 19 11 
5	29 30 24 20 12 
5	28 31 25 21 13 
5	31 28 26 22 14 
5	30 29 27 23 15 

64
6	1 2 4 8 16 32 
6	0 3 5 9 17 33 
6	3 0 6 10 18 34 
6	2 1 7 11 19 35 
6	5 6 0 12 20 36 
6	4 7 1 13 21 37 
6	7 4 2 14 22 38 
6	6 5 3 15 23 39 
6	9 10 12 0 24 40 
6	8 11 13 1 25 41 
6	11 8 14 2 26 42 
6	10 9 15 3 27 43 
6	13 14 8 4 28 44 
6	12 15 9 5 29 45 
6	15 12 10 6 30 46 
6	14 13 11 7 31 47 
6	17 18 20 24 0 48 
6	16 19 21 25 1 49 
6	19 16 22 26 2 50 
6	18 17 23 27 3 51 
6	21 22 16 28 4 52 
6	20 23 17 29 5 53 
6	23 20 18 30 6 54 
6	22 21 19 31 7 55 
6	25 26 28 16 8 56 
6	24 27 29 17 9 57 
6	27 24 30 18 10 58 
6	26 25 31 19 11 59 
6	29 30 24 20 12 60 
6	28 31 25 21 13 61 
6	31 28 26 22 14 62 
6	30 29 27 23 15 63 
6	33 34 36 40 48 0 
6	32 35 37 41 49 1 
6	35 32 38 42 50 2 
6	34 33 39 43 51 3 
6	37 38 32 44 52 4 
6	36 39 33 45 53 5 
6	39 36 34 46 54 6 
6	38 37 35 47 55 7 
6	41 42 44 32 56 8 
6	40 43 45 33 57 9 
6	43 40 46 34 58 10 
6	42 41 47 35 59 11 
6	45 46 40 36 60 12 
6	44 47 41 37 61 13 
6	47 44 42 38 62 14 
6	46 45 43 39 63 15 
6	49 50 52 56 32 16 
6	48 51 53 57 33 17 
6	51 48 54 58 34 18 
6	50 49 55 59 35 19 
6	53 54 48 60 36 20 
6	52 55 49 61 37 21 
6	55 52 50 62 38 22 
6	54 53 51 63 39 23 
6	57 58 60 48 40 24 
6	56 59 61 49 41 25 
6	59 56 62 50 42 26 
6	58 57 63 51 43 27 
6	61 62 56 52 44 28 
6	60 63 57 53 45 29 
6	63 60 58 54 46 30 
6	62 61 59 55 47 31 
